id,name,rating,posts,likes,comments,r_shares,r_comments,r_likes,r_commentLikes
1028898863843636,Santeri Salonen,2431,8,941,26,0,22,163,39
2024351677790767,Birky Kan Brutal Powertricks,34,0,12,3,0,0,0,1
953627154699545,Ivan Chavez,1530,0,765,0,0,0,0,0
201625683553687,Pauly Piazza,544,2,56,10,6,11,164,7
1236486016364727,Tiago V's,2780,26,793,149,0,98,133,57
1154389057926348,Thomas Piuva,1551,2,603,63,0,10,7,102
10205061249957480,Greg Homan,5375,15,2032,193,0,59,158,164
1708406602748390,Ethan Turner,9077,30,941,74,55,243,2875,124
681319048675078,Georgemir Júnior,414,11,134,19,0,0,12,10
10206625748855693,Adam Devenport,13898,57,891,137,5,651,4547,353
1722973261274279,Abdou End You,192,0,96,0,0,0,0,0
1149890545043409,Norman Seeba,3254,3,1396,25,7,13,145,15
1690084584580169,Hữu Quý,910,0,453,1,0,0,0,1
1031559920238502,Nicholas Ip,2626,1,1272,6,0,2,24,5
151171575278601,Maria Vanega,99,0,19,19,0,0,0,4
1582349308744801,Enzo Parkour,214,0,107,0,0,0,0,0
622702061213018,Nakrin T Tnt,358,0,179,0,0,0,0,0
914180045365421,Dany Rivas,583,1,271,6,0,2,4,4
1049407831765269,Oskari Mikkonen,1340,1,624,14,0,4,9,15
1325295957497606,Johannes Anttila,11066,27,2631,284,44,270,1595,641
1034421773296741,Eetu Nikula,718,0,359,0,0,0,0,0
10203783069697462,Jordan Laskari,3988,0,1994,0,0,0,0,0
10208053676512513,Aleksi Neuvonen,1685,10,319,55,0,33,319,95
1208198942538810,Johan Kirsilä,89297,200,1280,512,962,2480,35871,1171
1250238935005831,Saku Taipale,476,2,4,7,1,17,187,8
1002422666519264,稲妻泰輔,6728,90,518,475,3,686,726,295
465311663662286,Trevor Kunkel,383,2,118,18,1,11,16,14
901180886644089,Povilas Blueyes,24920,165,2551,1608,37,1900,3149,2023
553525694817076,Anthony Trickset,203,3,60,9,2,4,10,1
10206691023892568,Dan Thatcher,3057,25,409,305,0,171,209,268
10206036948143573,Evan Wimbish,2721,20,791,66,0,61,290,78
10205728006255937,Brett Starborn Robert,8957,47,576,961,17,361,741,2054
10205440567317139,Shameem 'Parkour' Abbas,1736,3,636,42,0,13,127,30
1721086938120920,Mads Schoebel,1050,1,488,16,0,0,5,11
1264417163585650,James Oneal,670,2,242,22,0,16,21,20
807791392700520,Muheeb Walee Zeedan,228,0,114,0,0,0,0,0
10205332270417830,Dario Tkd,2961,3,1097,129,0,26,104,79
1058837664155071,Nuri Cimen,3965,13,107,132,1,87,1402,221
1509596376030990,Harbelon Lhr,659,7,69,1,0,19,213,0
693960997408570,EX Yu-king,58,0,29,0,0,0,0,0
850409101713638,Sunny Sher,2,0,1,0,0,0,0,0
1009660839094721,Tyreke Armstrong,3893,37,361,55,0,226,1054,35
247316465615873,David Osgova,101,1,33,3,0,3,6,0
1200855726615464,Sean Abbott,1992,10,763,55,0,33,47,58
995564690522022,Jaime Saenz Gamboa,22,0,11,0,0,0,0,0
10208158163226009,Justo Aguilar,112,0,56,0,0,0,0,0
789087271216946,Elwin Miggelenbrink,1093,5,162,59,1,63,147,80
996281190461654,Foued Derwich,474,0,237,0,0,0,0,0
10206792556158091,Anthony Cammisano,78,0,39,0,0,0,0,0
697157430426337,Leo Fortino,257,0,120,5,0,0,0,2
1679971038928675,Guilherme Santtos,73,0,35,1,0,0,0,0
10206172524604785,Shafayet Patwari,237,2,57,1,4,4,41,0
645633798909206,최명호,194,0,97,0,0,0,0,0
10209564224326558,Daniel Armitage Nuñez,776,0,388,0,0,0,0,0
1711013235841894,Ferran Gonzalez Costa,76,0,38,0,0,0,0,0
725586860910393,Hâm Zàà,2,0,1,0,0,0,0,0
1695697784011325,Rawz Raz Araméen,69,2,15,4,0,0,6,5
1060475720670705,Maroš Kamenický,51,0,18,3,0,0,0,6
1067484249960456,Maiik Ready Trickz,213,1,89,2,0,0,11,2
1655202994748351,Joonas Ylitolva,69,0,33,1,0,0,0,0
10208977364772841,Kh Môàd,4252,16,144,81,10,181,1494,70
282061922125422,Trickers,766,0,381,1,0,0,0,1
879093022202121,Namio Trần,69,0,31,2,0,0,0,1
1100170473366645,Sergey Zhu,3048,23,327,282,15,137,299,364
1072802996119684,Adrià Mompó Alepuz,339,1,147,6,0,2,7,2
759210634213844,Imad Scheut,7153,4,3376,59,0,11,68,35
1024206510943779,Félix Tonlorenzi,9128,1,4437,50,0,4,14,59
701224303313318,Areeb Hussain,113,1,5,1,0,27,7,0
10206574107984895,Goran Terzic,6,0,3,0,0,0,0,0
189515628106536,Jordan Sobrino,474,1,65,1,0,16,144,0
822406131236230,Aarush Kumar,90,0,45,0,0,0,0,0
10153589937642106,Josue Beatmaker,8,0,4,0,0,0,0,0
10209061820452771,Jarrod Law,42,0,21,0,0,0,0,0
10208727311200822,Pang Mekboonsonglap,577,1,45,12,24,28,125,16
1751473865072360,PrĮńçê Îqbåł,2,0,1,0,0,0,0,0
220962814926177,Ashleigh Kar,51,0,9,9,0,0,0,6
1002187309860724,Jadé Walbrugh,14,0,7,0,0,0,0,0
10153402961167056,Adam Younkin,56,0,28,0,0,0,0,0
500034563508177,Mouad Zeroual,210,0,100,3,0,0,0,1
506368879545994,Tuấn Anh,94,0,47,0,0,0,0,0
1269125576449217,Antonio Bascur Escobar,163,1,30,13,1,8,11,9
1712303072387786,Talha Merdad,6,0,1,1,0,0,0,1
1160192093996772,Aaron Varghese,96,0,3,14,0,0,0,48
1566018023727942,Marcus Smedsrud,20,0,2,5,0,0,0,1
10153577439014869,Victor Emmanuel Reyes,20713,157,143,893,115,1577,4741,2290
10154002880852649,Andrew Archer,1007,0,442,27,0,0,0,42
10208886636994265,Phillip Fortune,19048,79,875,490,3,1017,5734,902
871194556330460,Richard Marshall,15834,41,648,2213,3,382,1140,4256
1011793848902151,Ràçhid Trickster,8882,36,823,230,198,279,2218,301
195064867546221,Aniky Rizky Marry Aniky,530,0,263,1,0,0,0,1
771620596270750,Marcin Tricking,1302,2,193,183,1,20,13,267
1056592914412348,Andrea Spedone,1789,21,234,124,0,115,207,85
475220616013627,Davide Distefano,314,0,157,0,0,0,0,0
747957635336751,Demian Masin,3230,0,1605,5,0,0,0,5
1083958201637285,Gianluca Granchelli,1475,1,696,20,0,0,0,18
1035197106548285,Vladi Mosca,87,2,24,8,0,0,1,3
10209373088872293,Carlos González Rea,2073,13,652,114,1,20,80,138
700342910105677,Markus Schultz,1313,8,15,30,1,99,410,32
573292949504925,Shalev Biton,5066,3,2234,111,0,19,20,153
1721164654821690,Tã Lël Güï Mrí,8,0,4,0,0,0,0,0
10204739107672486,Fatwa Ramadhan,165,0,75,4,0,0,0,3
963802500383486,Renato Vukovic,818,0,409,0,0,0,0,0
1028709523875983,Dovydas Guoba,339,0,161,5,0,0,0,2
1116638301715472,Pascal Koronowski,187,1,76,9,0,0,0,3
960229700696975,Máté Szabó,6617,4,2432,353,0,11,34,573
1044554002267822,Sebastian Dobihal,337,3,33,20,3,22,44,30
10154022461627074,Masa Toshi,138,1,19,14,0,14,3,5
1102314153136391,Mandimby Raharison,6749,37,956,44,118,135,1785,73
